item_id,title,author,year,editions,subjects,image_url
book-/works/OL88217W,Carmina,Horace,1712,183,Latin Laudatory Poetry|Translations Into English|Poetry|Translations Into Spanish|Latin Verse Satire|Latin Language|Translations Into German|Translations Into Italian|Odes|Translations Into Hebrew,https://covers.openlibrary.org/b/id/5602118-L.jpg
book-/works/OL8193416W,The Picture of Dorian Gray,Oscar Wilde,1890,3012,Fantasy Fiction|Appearance (Philosophy)|Fiction|Conduct Of Life|Youthfulness|Portraits|Apparence (Philosophie)|Morale Pratique|Juvénilité|General,https://covers.openlibrary.org/b/id/14314858-L.jpg
book-/works/OL8193406W,The Mayor of Casterbridge,Thomas Hardy,1800,676,Long Now Manual For Civilization|Psychological Fiction|Fathers And Daughters -- Fiction|Men -- England -- Fiction|Wessex (England) -- Fiction|Runaway Husbands -- Fiction|Atonement -- Fiction|Mayors -- Fiction|Fathers And Daughters|Fiction,https://covers.openlibrary.org/b/id/1260617-L.jpg
book-/works/OL85875W,Bram Stoker's Dracula omnibus,Bram Stoker,1897,598,Children: Grades 3-4|Fiction / Classics|Fiction|Count Dracula (Fictitious Character)|Fiction / Horror|Vampires|English Horror Tales|History And Criticism|Vampires In Literature|Psychological Fiction,https://covers.openlibrary.org/b/id/8028797-L.jpg
book-/works/OL2895536W,Carmilla,Sheridan Le Fanu,1871,571,English Fantasy Fiction|Fiction|Lesbians|Vampires|Gothic Fiction|Horror|Vampires--Fiction|Pr4879.L7 C3 2013|823/.8|Pr4879.L7 C3 2009,https://covers.openlibrary.org/b/id/973851-L.jpg
book-/works/OL276386W,The Turn of the Screw,Henry James,1898,563,Social Conditions|Horror|England|Fiction|Psychological|Man-Woman Relationships|Short Stories (Single Author)|Turn Of The Screw (James|Henry)|James,https://covers.openlibrary.org/b/id/181493-L.jpg
book-/works/OL3388961W,The Great God Pan,Arthur Machen,1894,431,Austin Osman Spare|Arthur Machen|Pan|Occult|Esoteric|Classic Literature|Decadent|Horror|Gothic|Authors,https://covers.openlibrary.org/b/id/921610-L.jpg
book-/works/OL85889W,Dracula's Guest and Other Weird Stories,Bram Stoker,1937,387,English Horror Tales|Short Stories|Vampires In Fiction|Vampires|Fiction|Horror|English Literature|Horror Stories|Children'S Fiction,https://covers.openlibrary.org/b/id/2039484-L.jpg
book-/works/OL3388994W,The White People,Arthur Machen,2004,247,Horror|Fiction|Short Story|Horror And Supernatural Fiction,https://covers.openlibrary.org/b/id/1803998-L.jpg
book-/works/OL41078W,The Fall of the House of Usher,Edgar Allan Poe,1704,237,Short Stories (Single Author)|American Horror Tales|Burial Vaults|Catalepsy|Dragons|Fiction|Gothic Fiction|Hermitages|Heroic Romances|Horror,https://covers.openlibrary.org/b/id/11838138-L.jpg
book-/works/OL2288676W,Brood of the Witch-Queen,Sax Rohmer,1924,194,Fantasy|Fiction|Horror|Witches|Magic|Ancient Egypt|Witches -- Fiction|Paranormal Fiction,https://covers.openlibrary.org/b/id/2011286-L.jpg
book-/works/OL85864W,"Dracula's guest, and other weird stories",Bram Stoker,1914,171,Fiction|Literature|English Horror Tales|Horror Short Stories|Horror Tales|Mesmerism|Short Stories|Suspense|Horror|Hoaxes,https://covers.openlibrary.org/b/id/8369722-L.jpg
book-/works/OL262586W,Tales of Terror and Mystery,Arthur Conan Doyle,1963,168,Classic Literature|English Detective And Mystery Stories|English Horror Tales|English Short Stories|Fiction|Horror|Mystery|English Literature,https://covers.openlibrary.org/b/id/8311421-L.jpg
book-/works/OL3625242W,The Vampyre,John William Polidori,1819,149,Fiction|Incest|Vampires|English Horror Tales|Classic Literature|Horror|Short Stories|Fiction Horror|Fiction Ghost|English Fiction,https://covers.openlibrary.org/b/id/4871002-L.jpg
book-/works/OL41041W,Tales of the Grotesque and Arabesque,Edgar Allan Poe,1840,146,Short Stories|Aristocracy|American Horror Tales|Burial Vaults|Catalepsy|Dragons|Fiction|Gothic Fiction|Hermitages|Heroic Romances,https://covers.openlibrary.org/b/id/8863360-L.jpg
book-/works/OL81626W,Carrie,Stephen King,1974,118,Occult & Supernatural Fiction|Horror Fiction|Psychological Thrillers|Fiction|Horror|American Horror Tales|Thriller|Epistolary Novel|Telekinesis|Menarche,https://covers.openlibrary.org/b/id/9256043-L.jpg
book-/works/OL2700643W,The Damned,Algernon Blackwood,2002,106,Fiction|Horror,https://covers.openlibrary.org/b/id/2808419-L.jpg
book-/works/OL81634W,Misery,Stephen King,1978,99,Dope|Pills|American Novelists|Captives|Fans (Persons)|Fiction|Novelists|Prisoners|Suspense Fiction|Writers,https://covers.openlibrary.org/b/id/8259296-L.jpg
book-/works/OL81633W,The Shining,Stephen King,1977,97,Fiction|Horror Fiction|Demonology|Precognition|Authors|Hotelkeepers|Gothic & Horror|Paranormal Fiction Suspense & Thriller|Horror|Supernatural Thrillers,https://covers.openlibrary.org/b/id/12376585-L.jpg
book-/works/OL81613W,It,Stephen King,1986,95,Coming Of Age|Thrillers|Suspense|Horror|Schwinn Bicycles|Catatonia|Homosexuality|Blood Oaths|Omniscience|Mummies,https://covers.openlibrary.org/b/id/8569284-L.jpg
book-/works/OL81628W,The Gunslinger,Stephen King,1976,95,Succubus|Demons|American Fiction|Fantastic Fiction|Adventure Fiction|Science Fiction|Horror Fiction|Fantasy|Fantasy Fiction|Ciencia-Ficción,https://covers.openlibrary.org/b/id/8396638-L.jpg
book-/works/OL81631W,Pet Sematary,Stephen King,1983,92,Fiction|Thrillers|Suspense|Horror|Occult|Psychological Trauma|Spinal Meningitis|Flashback|Heart Attack|Burial Ground,https://covers.openlibrary.org/b/id/12015500-L.jpg
book-/works/OL81629W,The Green Mile,Stephen King,1996,91,Horror Fiction|Fiction|Death Row Inmates|Prisons|Executions And Executioners|Jails|Sisters|Murder|Horror|Prison Officials And Employees,https://covers.openlibrary.org/b/id/9334567-L.jpg
book-/works/OL81630W,The Dead Zone,Stephen King,1979,88,Brain Tumors|Rifles|Human Shields|Assassination|Procrastination|Murder|Federal Bureau Of Investigation|Car Bombs|United States House Of Representatives|Mayors,https://covers.openlibrary.org/b/id/14653991-L.jpg
book-/works/OL7973293W,In the Midst of Life. Tales of Civilians,Ambrose Bierce,1891,86,History|Fiction|Classic Literature|Short Stories|Hanging|Confederacy|Union|American Short Stories|American Fiction|Manners And Customs,https://covers.openlibrary.org/b/id/8753716-L.jpg
book-/works/OL81618W,The Stand,Stephen King,1978,85,Suspense & Thriller|Gothic & Horror|Biological Warfare|Research|Horror Fiction|Horror Tales|Fiction|Thrillers|Suspense|Horror,https://covers.openlibrary.org/b/id/9255992-L.jpg
book-/works/OL41050W,The Masque of the Red Death,Edgar Allan Poe,1922,85,Gothic Fiction|Horror|Short Story|Plagues|Abbeys|Nobility|Hematidrosis|Masquerade Balls|Shrouds|Daggers,https://covers.openlibrary.org/b/id/11860130-L.jpg
